Brand,AverageAge
Volkswagen,8.182965299684543
Lexus,4.85
Jaguar,8.382352941176471
Maserati,7.0
Rolls-Royce,7.0
Tata,6.307291666666667
Jeep,5.202702702702703
Mitsubishi,11.38888888888889
Kia,3.0372670807453415
Mini,7.463414634146342
Chevrolet,11.955056179775282
Volvo,7.395833333333333
Hyundai,7.936966513460276
Honda,9.175219023779725
Audi,8.863636363636363
Ambassador,15.0
Isuzu,4.5
Land Rover,6.323943661971831
Mercedes-Benz,7.82089552238806
Ssangyong,11.0
Renault,6.564853556485356
Mahindra,6.734290843806104
BMW,7.953216374269005
MG,2.75
Bajaj,11.0
Datsun,6.409090909090909
Opel,21.0
Maruti Suzuki,7.5383475361244905
Ashok,0.0
Porsche,6.041666666666667
Skoda,7.6208791208791204
Bentley,7.0
Toyota,7.5291073738680465
Aston Martin,8.0
Nissan,8.586666666666666
Fiat,11.0
Ford,7.930612244897959
Force,3.1666666666666665
